page_index,movie_id,title,username,user_id,rating,date,time,comment,useful_count
0,26972275,恋爱回旋,老刘,67346896,推荐,2023-02-13,01:27:28,有逗逼，有感动，有渣男，元素凑齐了。话说两个在中国没有进国家队的人，指导了两个业余选手1个月，就能在比赛中取得这么好的成绩，有点儿扯了。而且，两个“中国人”迷之口音也太不讲究了吧~,0
0,26972275,恋爱回旋,outis,218551775,很差,2023-02-11,23:45:12,"运动员对运动番天然有智息滤镜
剧本稀烂
终于分清了长泽雅美和新垣结衣",0
0,26972275,恋爱回旋,MyAnthony,Kanolevixx0521,推荐,2023-02-09,23:24:20,因为我本人是个乒乓球选手 所以这部电影比较加分,0
0,26972275,恋爱回旋,二爷,181313559,推荐,2023-02-09,16:54:17,麻婆豆腐,0
0,26972275,恋爱回旋,小王,265077707,推荐,2023-02-08,20:26:39,内容还挺好，故事感我比较喜欢可能年代的问题服装不太喜欢,0
0,26972275,恋爱回旋,kill queen🇺🇦,Colonelpanpan,力荐,2023-02-08,14:24:05,好看哎,0
0,26972275,恋爱回旋,羊毛,4311906,还行,2023-02-07,14:41:21,情节老套，情感狗血的励志轻喜剧。,0
0,26972275,恋爱回旋,Israel,Windghost97,力荐,2023-02-07,07:46:34,hhh,0
0,26972275,恋爱回旋,ᑐᑌᑎᕮ,161390736,还行,2023-02-06,03:28:16,像是吃了麻婆豆腐一样燃,0
0,26972275,恋爱回旋,落月,Neli,,2023-02-01,00:53:53,想当年我还能在电影院看到日影，其实也没几年啊……,0
0,26972275,恋爱回旋,Rudd,137949016,推荐,2023-01-31,21:52:12,新垣结衣好美！励志题材最终没有以胜利结尾，也寓意着dare to dream过程更重要！无撕逼的感情戏很温和，真心喜欢一个人，无论结果如何都应该保持体面和宽容！,0
0,26972275,恋爱回旋,指责型人格,192814926,推荐,2023-01-31,21:46:21,很标准,0
0,26972275,恋爱回旋,Anima,150691502,还行,2023-01-31,00:36:25,挺好玩的，毕竟演员也不是专业运动员，虽然打比赛是挺让人出戏的，但是最后的鸡汤还是整挺好,0
0,26972275,恋爱回旋,我在去未来路上,91605355,推荐,2023-01-30,15:25:55,日本为啥这么会拍励志片啊！,0
0,26972275,恋爱回旋,赫,ifuya,还行,2023-01-29,11:44:13,挺漂亮，不是，挺老套，就掐着观众脖子往下灌鸡汤,0
0,26972275,恋爱回旋,wawoo13,127334344,推荐,2023-01-28,00:33:58,第二遍了，阵容真的强啊，剧情确实一般，给个感情分,0
0,26972275,恋爱回旋,兔兔爱吃蜜瓜,195359710,还行,2023-01-25,23:37:57,日影给人的感觉，永远就是这样：即便眼前的生活乱成一团，但我总能有办法理好它。,0
0,26972275,恋爱回旋,momo,242877277,较差,2023-01-24,20:40:44,20180410,0
0,26972275,恋爱回旋,Gakki🌔,244021026,还行,2023-01-24,13:48:02,老婆🥹🥹,0
0,26972275,恋爱回旋,nothing,208650141,还行,2023-01-24,11:32:12,忽然想起当年在电影院看的，，好像还挺乐呵？,0
0,26972275,恋爱回旋,艺术小b抹茶,matcha24cream,推荐,2023-01-22,23:13:21,恋爱生涯惨淡 我只在女主两次悲惨不幸的恋爱身上看到自己 而最终幸福的结局我一点没看到我自己 ,0
0,26972275,恋爱回旋,小小煎蛋饼,121182825,推荐,2023-01-18,16:09:09,论热血还得是日本，恋爱谈的都热血，喜欢,0
